id,ran_at,keyword,job_count,skill_counts,role_counts
4a45e39fdf1b4a2080c5d19eb271b7bc,2026-05-03 05:45:01+00,Software Engineer,289,"{""c"":18,""r"":26,""c#"":8,""go"":11,""qa"":14,""aws"":24,""c++"":2,""css"":20,""gcp"":10,""git"":19,""ios"":6,""jwt"":1,""llm"":2,""nlp"":1,""oop"":8,""php"":15,""rag"":4,""rpa"":1,""sap"":13,""sql"":35,""vue"":2,"".net"":8,""bash"":8,""html"":17,""java"":19,""sass"":1,""azure"":22,""ci/cd"":29,""flask"":1,""junit"":1,""linux"":17,""mysql"":20,""neo4j"":2,""numpy"":1,""oauth"":6,""react"":17,""redux"":2,""swift"":1,""django"":1,""docker"":6,""kotlin"":2,""mobile"":25,""oracle"":24,""pandas"":2,""pl/sql"":1,""python"":27,""recoil"":1,""uipath"":2,""android"":10,""angular"":5,""ansible"":1,""fastapi"":1,""flutter"":4,""graphql"":2,""java ee"":4,""jenkins"":1,""laravel"":8,""mongodb"":4,""next.js"":5,""node.js"":7,""pytorch"":1,""firebase"":1,""rest api"":34,""selenium"":2,""tailwind"":3,""webhooks"":2,""bootstrap"":1,""cassandra"":1,""terraform"":6,""javascript"":28,""kubernetes"":2,""monitoring"":27,""playwright"":1,""postgresql"":10,""powershell"":4,""salesforce"":13,""serverless"":1,""servicenow"":2,""sql server"":10,""tensorflow"":1,""typescript"":10,""api gateway"":4,""spring boot"":3,""react native"":5,""web services"":10,""cybersecurity"":20,""deep learning"":1,""github actions"":5,""computer vision"":1,""machine learning"":5,""spring framework"":4,""prompt engineering"":1,""penetration testing"":3}","{""interns"":1,""ai engineer"":1,""intern - qa"":1,""it assistant"":2,""it executive"":2,""video editor"":2,""data engineer"":1,""it internship"":1,""mis assistant"":1,""seo executive"":1,""it-coordinator"":1,""technician (1)"":1,""cctv technician"":1,""system engineer"":1,""tech lead - rpg"":1,""engineer (civil)"":1,""graphic designer"":12,""intern - backend"":1,""manager - it (1)"":3,""senior tech lead"":1,""ui | ux designer"":1,""consultant - abap"":1,""creative designer"":1,""data engineer (1)"":1,""data engineer (2)"":1,""erp administrator"":1,""graphic designers"":3,""laravel developer"":1,""marketing officer"":1,""planning engineer"":1,""shopify developer"":1,""technologist - it"":1,""assistant engineer"":1,""java tech lead (1)"":1,""software developer"":1,""software engineers"":1,""software vacancies"":1,""tech freshers (40)"":1,""hardware technician"":1,""it support engineer"":2,""office it assistant"":1,""ai engineer (intern)"":1,""business analyst (1)"":2,""delivery manager (1)"":1,""digital team manager"":1,""full stack developer"":2,""graphic designer (1)"":1,""it support assistant"":1,""it technician (male)"":1,""system administrator"":1,""web developer intern"":1,""word press developer"":1,""big data engineer (1)"":1,""manager - it services"":1,""network administrator"":1,""qa intern | junior qa"":1,""assistant manager - it"":1,""data engineer - python"":1,""project manager - zoho"":1,""react native developer"":1,""soft ware engineer (1)"":1,""video creator / editor"":1,""cctv technician (field)"":1,""erp data entry operator"":1,""intern ui | ux designer"":1,""junior graphic designer"":1,""software engineer (php)"":1,""wordpress web developer"":1,""it assistant - pallekale"":1,""it helpdesk engineer (1)"":1,""senior sql developer (1)"":1,""software engineer (male)"":1,""system administrator (1)"":2,""trainee graphic designer"":1,""creative graphic designer"":2,""it manager | it executive"":1,""junior executive - it (1)"":1,""junior software developer"":1,""mt oracle consultancy (1)"":1,""system support specialist"":1,""technical officer (civil)"":1,""call center associate (10)"":1,""frontend developer (react)"":1,""full stack engineer - java"":1,""graphic designer (digital)"":1,""head of implementation (1)"":1,""html content associate (5)"":1,""intern - data engineer (1)"":1,""it project coordinator (1)"":1,""java angular tech lead (1)"":1,""revenue operations analyst"":1,""software engineer java (1)"":1,""trainee network technician"":2,""associate data engineer (1)"":1,""audit assistant - it (male)"":1,""consultant ? abap/fiori (1)"":1,""crm & systems administrator"":1,""hr systems & process intern"":1,""intern - client service (1)"":1,""intern - cyber security (1)"":2,""senior business analyst (1)"":1,""senior network engineer (1)"":1,""senior systems engineer (1)"":1,""full stack .net engineer (1)"":1,""information security officer"":1,""jira cloud administrator (1)"":1,""lavarel full stack developer"":1,""senior executive - sales (1)"":1,""senior it support technician"":1,""video/ image annotators (55)"":1,""associate project manager (1)"":1,""cctv & network technician (1)"":1,""customer service officer (10)"":3,""executive - creative designer"":1,""network support administrator"":1,""assistant - system support (1)"":2,""business development executive"":1,""consultant - sap analytics (1)"":1,""graphic designer / coordinator"":1,""helpdesk it support specialist"":1,""sales force automation officer"":1,""senior front end developer (1)"":1,""systems & operations executive"":1,""head of information systems (1)"":3,""information security specialist"":2,""intern - front line support (1)"":1,""it hardware sales executive (1)"":1,""marketing content executive (1)"":1,""on - site 3d character animator"":1,""quality assurance assistant (1)"":1,""senior mobile app developer (1)"":1,""associate application consultant"":1,""automation & ai systems engineer"":1,""executive - data driven solution"":1,""graphic designer (male | female)"":1,""site support engineer - hanwella"":1,""social media marketing executive"":1,""full stack engineer - ai platform"":1,""it - technical support executives"":1,""oracle functional consultants (1)"":1,""associate/ fullstack developer (1)"":1,""operations executive (night shift)"":1,""progress openedge senior developer"":1,""senior digital media executive (1)"":1,""senior software engineer - backend"":1,""software engineer java angular (1)"":1,""visual designer - remote (colombo)"":1,""associate - it service delivery (1)"":1,""devops engineer - embedded software"":1,""intern ? information technology (1)"":1,""low code development specialist (1)"":1,""practice manager ? sap finance. (1)"":1,""software engineers to work in japan"":1,""trainee associate software engineer"":1,""expert - erp/odoo implementation (1)"":1,""full stack engineer (.net & angular)"":1,""graphic designer | creative designer"":1,""it system specialist - sap basis (1)"":1,""mis support executive - mis division"":1,""printer technician / pabx technician"":1,""application support engineer (intern)"":1,""assistant engineer - telecom projects"":1,""creative graphic designer (full time)"":1,""digital marketing content creator (1)"":1,""it support intern | junior it support"":1,""senior quality assurance engineer (1)"":1,""senior software engineer - l3 support"":1,""tech lead - backend & devops (remote)"":1,""associate architect / senior tech lead"":1,""back-end developer (php/laravel/react)"":1,""it trainee - technical support officer"":1,""senior content specialist - colombo (1)"":1,""trainee site support engineer - pannala"":1,""computer vision engineer - industrial ai"":1,""creative designer / graphic designer (1)"":1,""formula 1 graduate placement program (1)"":1,""intern - cloud solutions and service (1)"":1,""performance marketer - meta & google ads"":1,""senior business analyst - technology (1)"":1,""senior software engineer java script (1)"":1,""trainee site support engineer - biyagama"":1,""video editor - inter (remote - uk hours)"":1,""backend developer / engineer ? golang (1)"":1,""junior executive - information technology"":1,""manager - information technology (it) (1)"":1,""on site it executive-li (pannala/colombo)"":1,""senior business analyst & project manager"":1,""digital transformation assistant (colombo)"":1,""executive - it infrastructure and security"":1,""full stack web developer - backend-focused"":1,""graphic design intern (remote - sri lanka)"":1,""trainee programme support officer - remote"":1,""it hardware & networking engineer - pannala"":1,""senior ios developer (banking applications)"":1,""graphic designer & ai video creator / editor"":1,""oracle apex | vbcs - senior developer | lead"":1,""business analyst - banking and finance domain"":1,""chief information security officer - ciso (1)"":1,""ml | ai engineer - real - time vision systems"":1,""oracle (oic | soa) - senior | lead consultant"":1,""senior graphic designer / senior video editor"":1,""technical deployment and support engineer (1)"":1,""trainee site support engineer - mahiyanganaya"":1,""trainee | junior it engineer (fresh graduate)"":1,""executive - it business partnering (galle) (1)"":1,""system administrator | it executive - homagama"":1,""edi system analyst (us calendar - us shift) (1)"":2,""manager / deputy manager - information security"":1,""oracle workflow & bpm - senior developer | lead"":1,""senior android developer (banking applications)"":1,""telecom technical officer | technician | rigger"":1,""intern / trainee coordinator & web administrator"":1,""oracle (ebs | fusion) - senior | lead consultant"":1,""senior executive / executive (signage solutions)"":1,""senior infrastructure & cloud solution architect"":1,""devops engineer (oracle cloud | web & erp systems)"":1,""intern | junior executive - information technology"":1,""customer support executive / assistant (it support)"":1,""it officer & graphic designer (anuradhapura branch)"":1,""oracle cloud database - senior engineer | tech lead"":1,""senior information security engineer - fincsirt (1)"":1,""senior technical executive (technical services) (1)"":1,""software operations & support technician / engineer"":1,""assistant manager - it (meethirigala | embilipitiya)"":1,""assistant manager / senior executive - cybersecurity"":1,""digital operations specialist - web | it | marketing"":1,""system administrator / intern - system administrator"":1,""technical consultant ? navision/business central (1)"":1,""assistant manager - business intelligence & analytics"":1,""junior application support / application support intern"":1,""web & graphic designers | frontend & backend developers"":1,""azure/ dynamics 365 (business central administrator) (1)"":1,""junior electrical & it engineer - it systems integration"":1,""senior engineer - enterprise fiber projects (outsourced)"":1,""associate - business support (uk calendar - uk shift) (1)"":1,""customer support assistant (gampaha/boralla/nugegoda) (1)"":1,""it support engineer - biyagama (l0r.45,000 - lkr. 60,000)"":1,""chartered quantity surveyor cum contract administrator (1)"":1,""executive - system engineer (aus calendar - aus shift) (1)"":2,""senior cloud & infrastructure engineer (microsoft & azure)"":1,""trainee it assistant / it assistant - it department (male)"":1,""engineering service executives for anuradhapura area (male)"":1,""it specialist - new locations - biyagama / mahiyanganaya (1)"":1,""senior associate - data analytics (us calendar - us shift) (1)"":1,""software engineer (python) | senior software engineer (python)"":1,""information technology specialist - data & platform integration"":1,""senior executive / executive ? customer relation management (1)"":1,""senior software engineer | software engineer mobile development"":1,""it executive - hardware support / it executive - software support"":1,""senior sales executive (hardware, elv and service level agreements) (1)"":1,""management associate | creative designer (department of marketing & outreach)"":1,""immediate mobile app developers vacancies (ios & android) in colombo - sri lanka"":1,""associate software engineer/software engineer - business intelligence & analytics (1)"":1,""software engineer - application development & automated testing (l1-l2 - testing & development)"":1,""support desk & systems engineer (l1/l2 - testing & development) - automation (container / bulk / warehouse)"":1,""it asset analyst (malabe) / it support associates / specialists (malabe, pannala, hanwella, wattala, pallekella & mahiyanganaya)"":1}"
a5a179ce3b984e4589b5b588b8f9bce0,2026-05-02 09:06:53+00,Software Engineer,150,"{""c"":9,""r"":12,""c#"":6,""go"":7,""qa"":8,""aws"":17,""c++"":1,""css"":15,""gcp"":7,""git"":10,""ios"":3,""llm"":1,""oop"":5,""php"":8,""rag"":3,""rpa"":1,""sap"":3,""sql"":23,"".net"":5,""bash"":5,""html"":12,""java"":14,""sass"":1,""azure"":7,""ci/cd"":14,""flask"":1,""junit"":1,""linux"":10,""mysql"":13,""numpy"":1,""oauth"":3,""react"":12,""redux"":1,""django"":1,""docker"":4,""kotlin"":1,""mobile"":6,""oracle"":20,""pandas"":2,""pl/sql"":1,""python"":19,""uipath"":1,""android"":5,""angular"":3,""fastapi"":1,""flutter"":4,""graphql"":1,""java ee"":4,""jenkins"":1,""laravel"":5,""mongodb"":2,""next.js"":3,""node.js"":4,""firebase"":1,""rest api"":22,""tailwind"":1,""webhooks"":1,""cassandra"":1,""terraform"":3,""javascript"":22,""kubernetes"":1,""monitoring"":13,""postgresql"":8,""powershell"":1,""salesforce"":3,""serverless"":1,""servicenow"":1,""sql server"":7,""typescript"":7,""api gateway"":2,""spring boot"":2,""react native"":4,""web services"":8,""cybersecurity"":6,""github actions"":3,""machine learning"":3,""spring framework"":3,""prompt engineering"":1,""penetration testing"":2}","{""interns"":1,""ai engineer"":1,""intern - qa"":1,""it executive"":1,""video editor"":1,""data engineer"":1,""mis assistant"":1,""seo executive"":1,""tech lead - rpg"":1,""graphic designer"":11,""intern - backend"":1,""senior tech lead"":1,""ui | ux designer"":1,""creative designer"":1,""data engineer (2)"":1,""erp administrator"":1,""graphic designers"":3,""laravel developer"":1,""planning engineer"":1,""technologist - it"":1,""java tech lead (1)"":1,""software developer"":1,""software engineers"":1,""software vacancies"":1,""tech freshers (40)"":1,""ai engineer (intern)"":1,""business analyst (1)"":1,""delivery manager (1)"":1,""digital team manager"":1,""full stack developer"":2,""graphic designer (1)"":1,""it support assistant"":1,""word press developer"":1,""big data engineer (1)"":1,""manager - it services"":1,""rpg software engineer"":1,""assistant manager - it"":1,""soft ware engineer (1)"":1,""video creator / editor"":1,""erp data entry operator"":1,""intern ui | ux designer"":1,""junior graphic designer"":1,""software engineer (php)"":1,""wordpress web developer"":1,""senior sql developer (1)"":1,""software engineer (male)"":1,""system administrator (1)"":1,""trainee graphic designer"":1,""mt oracle consultancy (1)"":1,""full stack engineer - java"":1,""graphic designer (digital)"":1,""head of implementation (1)"":1,""html content associate (5)"":1,""java angular tech lead (1)"":1,""software engineer java (1)"":1,""associate data engineer (1)"":1,""intern - cyber security (1)"":1,""senior business analyst (1)"":1,""senior systems engineer (1)"":1,""full stack .net engineer (1)"":1,""senior it support technician"":1,""video/ image annotators (55)"":1,""associate project manager (1)"":1,""customer service officer (10)"":1,""executive - creative designer"":1,""assistant - system support (1)"":1,""sales force automation officer"":1,""senior front end developer (1)"":1,""systems & operations executive"":1,""head of information systems (1)"":1,""information security specialist"":1,""marketing content executive (1)"":1,""on - site 3d character animator"":1,""quality assurance assistant (1)"":1,""senior mobile app developer (1)"":1,""automation & ai systems engineer"":1,""executive - data driven solution"":1,""graphic designer (male | female)"":1,""it - technical support executives"":1,""oracle functional consultants (1)"":1,""associate/ fullstack developer (1)"":1,""operations executive (night shift)"":1,""senior digital media executive (1)"":1,""software engineer java angular (1)"":1,""visual designer - remote (colombo)"":1,""devops engineer - embedded software"":1,""software engineers to work in japan"":1,""trainee associate software engineer"":1,""expert - erp/odoo implementation (1)"":1,""graphic designer | creative designer"":1,""it system specialist - sap basis (1)"":1,""mis support executive - mis division"":1,""application support engineer (intern)"":1,""creative graphic designer (full time)"":1,""senior software engineer - l3 support"":1,""tech lead - backend & devops (remote)"":1,""associate architect / senior tech lead"":1,""back-end developer (php/laravel/react)"":1,""creative designer / graphic designer (1)"":1,""performance marketer - meta & google ads"":1,""senior software engineer java script (1)"":1,""video editor - inter (remote - uk hours)"":1,""junior executive - information technology"":1,""full stack web developer - backend-focused"":1,""graphic design intern (remote - sri lanka)"":1,""trainee programme support officer - remote"":1,""digital printing operator | junior designer"":1,""graphic designer & ai video creator / editor"":1,""oracle apex | vbcs - senior developer | lead"":1,""business analyst - banking and finance domain"":1,""oracle (oic | soa) - senior | lead consultant"":1,""senior graphic designer / senior video editor"":1,""technical deployment and support engineer (1)"":1,""edi system analyst (us calendar - us shift) (1)"":1,""oracle workflow & bpm - senior developer | lead"":1,""intern / trainee coordinator & web administrator"":1,""oracle (ebs | fusion) - senior | lead consultant"":1,""it officer & graphic designer (anuradhapura branch)"":1,""oracle cloud database - senior engineer | tech lead"":1,""senior information security engineer - fincsirt (1)"":1,""digital operations specialist - web | it | marketing"":1,""assistant manager - business intelligence & analytics"":1,""junior application support / application support intern"":1,""web & graphic designers | frontend & backend developers"":1,""junior electrical & it engineer - it systems integration"":1,""associate - business support (uk calendar - uk shift) (1)"":1,""customer support assistant (gampaha/boralla/nugegoda) (1)"":1,""executive - system engineer (aus calendar - aus shift) (1)"":1,""senior associate - data analytics (us calendar - us shift) (1)"":1,""software engineer (python) | senior software engineer (python)"":1,""information technology specialist - data & platform integration"":1,""senior software engineer | software engineer mobile development"":1,""it executive - hardware support / it executive - software support"":1,""management associate | creative designer (department of marketing & outreach)"":1,""associate software engineer/software engineer - business intelligence & analytics (1)"":1,""software engineer - web | senior software engineer - web & software engineer - desktop"":1,""software engineer - application development & automated testing (l1-l2 - testing & development)"":1}"
1d35ef2cc1ce40718fbc2cf1e3498928,2026-05-01 00:00:00+00,Frontend Developer,333,"{""git"":13,""sql"":19,""vite"":20,""linux"":14,""react"":14,""next.js"":9,""zustand"":26,""tailwind"":15,""storybook"":6,""typescript"":24,""framer motion"":12,""redux toolkit"":24,""web performance optimization"":18}","{""ui engineer"":3,""react developer"":5,""frontend developer"":8}"
1fca0e430d924635995cd2d9dd8993cd,2026-05-01 00:00:00+00,DevOps Engineer,339,"{""aws"":18,""git"":15,""slo"":17,""sql"":22,""azure"":26,""linux"":14,""argocd"":18,""docker"":20,""gitops"":10,""grafana"":20,""terraform"":8,""kubernetes"":6,""prometheus"":17,""cloud observability"":13,""incident management"":10}","{""interns"":4,""cloud engineer"":5,""devops engineer"":5,""platform engineer"":2,""site reliability engineer"":4}"
2becae54239b4f3fb04c343f86337c30,2026-05-01 00:00:00+00,Project Manager,337,"{""git"":18,""sql"":17,""okrs"":25,""linux"":11,""risk management"":20,""roadmap planning"":13,""product management"":29,""software estimation"":8,""technical leadership"":16,""stakeholder management"":24}","{""scrum master"":4,""project manager"":6,""business analyst"":4}"
5ca89d85747f4d5ebeba20d9fcab31db,2026-05-01 00:00:00+00,Software Engineer,301,"{""ddd"":24,""git"":13,""sql"":17,""java"":18,""ci/cd"":8,""linux"":12,""react"":29,""docker"":9,""python"":20,""graphql"":7,""rest api"":17,""javascript"":18,""typescript"":21,""microservices"":14,""clean architecture"":8}","{""interns"":2,""qa engineer"":2,""backend developer"":4,""software engineer"":7,""frontend developer"":3,""full stack developer"":4}"
6806da25b3414ec7a1145271320cc96e,2026-05-01 00:00:00+00,AI/ML Engineer,330,"{""git"":18,""rag"":14,""sql"":16,""linux"":12,""python"":17,""pytorch"":17,""langchain"":6,""tensorflow"":7,""machine learning"":20,""model fine-tuning"":16,""vector embeddings"":24,""speech recognition"":8,""large language models (llms)"":16}","{""ai engineer"":6,""ml engineer"":5,""data scientist"":3,""prompt engineer"":2}"
6d88a0dfe7d742b2a44b988ca4c98f93,2026-05-01 00:00:00+00,UI/UX Intern,313,"{""git"":18,""sql"":19,""figma"":11,""linux"":15,""ux writing"":23,""motion design"":25,""design systems"":17,""usability testing"":10,""micro-interactions"":14,""responsive design principles"":7}","{""ui/ux intern"":8,""graphic designer"":4,""product designer"":2}"
dfb7e119565c4a07887c7b4cb70dcb52,2026-05-01 00:00:00+00,Cybersecurity Analyst,395,"{""git"":17,""sql"":19,""dast"":11,""sast"":8,""linux"":16,""devsecops"":33,""cloud security"":12,""threat modeling"":17,""zero trust architecture"":31,""compliance (iso 27001, soc 2, gdpr)"":19}","{""interns"":4,""soc analyst"":4,""security analyst"":8,""security engineer"":4}"
ef2622cc9d5d4bd291b1c70b4b27a053,2026-05-01 00:00:00+00,Backend Engineer,351,"{""git"":20,""sql"":18,""linux"":12,""node.js"":18,""rabbitmq"":10,""webhooks"":26,""oauth 2.0"":15,""postgresql"":18,""backend caching"":18,""openapi / swagger"":12,""graphql subscriptions"":23}","{""api developer"":5,""backend engineer"":9,""database engineer"":5}"
