gender,languages_selected,education_level,major_field_of_study,cgpa,current_year,current_semester,experties_major_gpa,experties_suggest_career,student_programming_learned,student_databases_tools,student_cloud_platforms_infra_tools,mind_stress_management,learning_style,student_expectation,preferred_work_environment,work_life_balance,internship_experience,real_world_projects_completed,certifications
female,"english, sinhala",bachelor's degree,information technology,3.94,2,2,2.95,ml engineer,"python, java",mongodb,kubernetes,moderate,kinesthetic,data scientist,remote,poor,yes,0,aws
male,"english, sinhala",bachelor's degree,cyber security,3.26,4,2,2.92,software engineer,"python, java",sql server,aws,low,auditory,systems analyst,onsite,poor,no,8,none
female,"sinhala, tamil",bachelor's degree,data science,2.32,1,1,3.82,network engineer,"python, sql",oracle,gcp,low,auditory,qa engineer,hybrid,excellent,no,7,cisco
male,tamil,bachelor's degree,data science,3.88,4,2,2.75,systems analyst,"python, sql",oracle,azure,moderate,auditory,software engineer,onsite,average,yes,3,google
male,english,bachelor's degree,computer science,2.74,2,1,2.85,cloud engineer,"python, r",mongodb,aws,low,visual,data scientist,remote,excellent,yes,9,google
female,"tamil, english",bachelor's degree,computer science,3.42,2,1,3.69,cloud engineer,"python, java",mysql,kubernetes,excellent,kinesthetic,devops engineer,remote,poor,no,2,aws
male,"english, sinhala",bachelor's degree,software engineering,3.64,3,2,2.47,software engineer,"c#, .net",postgresql,azure,low,visual,systems analyst,onsite,poor,yes,2,azure
male,tamil,bachelor's degree,information technology,3.75,4,1,3.72,ml engineer,"python, r",mongodb,azure,low,visual,security engineer,onsite,excellent,no,10,aws
female,"sinhala, tamil",bachelor's degree,cyber security,3.46,3,1,3.2,qa engineer,"java, c++",sql server,docker,low,auditory,software engineer,onsite,average,no,7,cisco
male,"english, sinhala",bachelor's degree,cyber security,2.44,2,1,3.34,qa engineer,"javascript, php",mysql,azure,excellent,auditory,software engineer,remote,poor,yes,1,azure
male,tamil,bachelor's degree,cyber security,2.57,3,1,2.4,data analyst,"python, r",postgresql,azure,low,visual,software engineer,onsite,average,no,5,aws
female,"tamil, english",bachelor's degree,software engineering,3.5,4,1,2.42,cloud engineer,"python, r",mysql,azure,moderate,auditory,software engineer,remote,average,yes,8,google
male,"sinhala, tamil",bachelor's degree,information technology,2.76,3,2,2.63,cyber security analyst,"java, c++",sql server,kubernetes,moderate,visual,software engineer,remote,poor,yes,1,google
male,english,bachelor's degree,information technology,3.55,3,1,3.65,cyber security analyst,"java, c++",sql server,aws,low,kinesthetic,data scientist,remote,excellent,no,9,none
female,"english, sinhala, tamil",bachelor's degree,data science,3.2,4,2,3.23,systems analyst,"python, sql",postgresql,aws,moderate,visual,qa engineer,hybrid,average,yes,11,google
female,"sinhala, tamil",bachelor's degree,information technology,3.02,1,2,3.07,ml engineer,"java, c++",oracle,gcp,excellent,kinesthetic,security engineer,onsite,excellent,no,5,google
female,tamil,bachelor's degree,computer science,2.42,2,1,2.33,systems analyst,"python, java",sql server,aws,excellent,kinesthetic,software engineer,remote,poor,yes,4,none
male,"english, sinhala",bachelor's degree,software engineering,3.16,2,1,2.55,network engineer,"java, c++",mysql,gcp,low,auditory,qa engineer,onsite,average,yes,10,aws
male,"sinhala, tamil",bachelor's degree,information technology,3.11,3,2,3.74,software engineer,"python, r",postgresql,aws,low,kinesthetic,security engineer,remote,excellent,no,3,aws
female,"english, sinhala, tamil",bachelor's degree,cyber security,2.56,2,2,3.78,cyber security analyst,"java, c++",mysql,docker,excellent,visual,security engineer,remote,excellent,no,12,aws
female,"english, sinhala",bachelor's degree,computer science,2.3,1,2,3.45,ml engineer,"javascript, php",sql server,azure,excellent,auditory,qa engineer,onsite,average,no,4,cisco
female,"sinhala, tamil",bachelor's degree,information technology,3.53,3,1,2.85,devops engineer,"javascript, php",oracle,aws,low,auditory,devops engineer,hybrid,poor,yes,7,azure
male,"english, sinhala",bachelor's degree,information technology,3.78,1,2,3.23,ml engineer,"javascript, php",mysql,gcp,excellent,auditory,devops engineer,hybrid,poor,yes,6,cisco
female,"english, sinhala",bachelor's degree,data science,3.76,4,1,3.6,data analyst,"java, c++",postgresql,gcp,moderate,kinesthetic,qa engineer,hybrid,excellent,no,9,google
female,sinhala,bachelor's degree,cyber security,2.84,2,2,3.61,ml engineer,"java, c++",sql server,gcp,excellent,visual,security engineer,remote,excellent,no,1,cisco
male,"tamil, english",bachelor's degree,information technology,2.86,3,1,2.32,ml engineer,"java, c++",mysql,kubernetes,low,kinesthetic,data scientist,remote,average,yes,7,none
male,"english, sinhala, tamil",bachelor's degree,data science,3.08,3,1,3.59,data analyst,"python, sql",oracle,aws,low,visual,data scientist,hybrid,average,yes,10,none
male,tamil,bachelor's degree,data science,2.5,4,1,3.67,software engineer,"c#, .net",sql server,kubernetes,excellent,kinesthetic,security engineer,hybrid,average,no,1,aws
female,"sinhala, tamil",bachelor's degree,software engineering,3.68,2,1,2.88,ml engineer,"javascript, php",mongodb,azure,low,kinesthetic,systems analyst,remote,excellent,no,9,cisco
female,tamil,bachelor's degree,information technology,2.8,3,1,2.51,ml engineer,"javascript, php",sql server,kubernetes,low,auditory,qa engineer,onsite,poor,yes,10,cisco
female,"tamil, english",bachelor's degree,cyber security,2.52,2,2,3.45,cyber security analyst,"java, c++",oracle,kubernetes,excellent,visual,software engineer,hybrid,excellent,yes,12,azure
female,english,bachelor's degree,information technology,3.3,3,1,3.1,software engineer,"c#, .net",mysql,kubernetes,low,auditory,security engineer,remote,poor,no,3,google
male,"english, sinhala",bachelor's degree,cyber security,3.87,1,2,2.96,devops engineer,"c#, .net",postgresql,azure,low,kinesthetic,software engineer,onsite,poor,yes,7,aws
male,english,bachelor's degree,data science,3.98,3,1,3.02,cloud engineer,"python, sql",mongodb,kubernetes,moderate,visual,systems analyst,hybrid,excellent,yes,6,none
male,"tamil, english",bachelor's degree,data science,3.79,4,1,2.97,ml engineer,"python, sql",mysql,aws,low,visual,devops engineer,onsite,poor,no,4,aws
male,"sinhala, tamil",bachelor's degree,cyber security,2.88,3,2,2.37,software engineer,"c#, .net",sql server,gcp,excellent,auditory,systems analyst,hybrid,poor,no,10,azure
male,english,bachelor's degree,computer science,2.43,4,2,3.24,qa engineer,"java, c++",sql server,gcp,low,visual,devops engineer,hybrid,poor,yes,5,cisco
female,english,bachelor's degree,computer science,2.98,2,2,3.86,systems analyst,"python, sql",mongodb,kubernetes,excellent,auditory,qa engineer,hybrid,excellent,yes,1,google
male,"english, sinhala, tamil",bachelor's degree,information technology,2.93,3,2,3.7,devops engineer,"c#, .net",mongodb,azure,low,visual,data scientist,onsite,average,no,5,aws
male,"sinhala, tamil",bachelor's degree,software engineering,2.8,2,1,2.92,software engineer,"javascript, php",mysql,azure,excellent,auditory,systems analyst,remote,average,yes,3,azure
male,sinhala,bachelor's degree,information technology,2.5,3,2,2.79,ml engineer,"c#, .net",oracle,azure,moderate,auditory,security engineer,onsite,excellent,yes,10,azure
female,"english, sinhala, tamil",bachelor's degree,computer science,3.87,3,1,2.62,ml engineer,"c#, .net",oracle,gcp,low,kinesthetic,systems analyst,remote,excellent,no,6,none
male,"english, sinhala, tamil",bachelor's degree,computer science,3.93,1,2,2.29,qa engineer,"python, sql",oracle,aws,low,kinesthetic,data scientist,remote,average,yes,7,none
male,sinhala,bachelor's degree,cyber security,2.99,2,1,2.62,cyber security analyst,"python, r",mongodb,kubernetes,low,visual,security engineer,remote,average,yes,8,cisco
male,"english, sinhala",bachelor's degree,information technology,2.36,1,1,3.09,software engineer,"python, java",mongodb,aws,low,visual,security engineer,hybrid,excellent,no,9,cisco
female,"sinhala, tamil",bachelor's degree,information technology,2.96,3,2,2.94,cloud engineer,"java, c++",mongodb,aws,low,auditory,security engineer,onsite,poor,no,0,aws
female,english,bachelor's degree,cyber security,3.95,3,1,2.61,cloud engineer,"java, c++",sql server,azure,low,kinesthetic,data scientist,remote,excellent,yes,4,cisco
male,sinhala,bachelor's degree,cyber security,3.87,1,1,2.49,network engineer,"java, c++",postgresql,azure,low,auditory,security engineer,onsite,excellent,no,0,azure
