skill_name,current_count,forecasted_count_30d,absolute_growth,relative_growth_pct,growth_score,trend_status,rmse,mape_pct,coverage_pct
argocd,0.0,0.0,0.0,0.0,0.0,Stable,0.23,6.9,75.89
aws,24.0,14.09,-9.91,-41.27,-0.5045,Declining,0.2,6.02,83.93
azure,22.0,18.42,-3.58,-16.29,-0.1693,Declining,0.23,6.73,79.17
backend caching,0.0,0.0,0.0,0.0,0.0,Stable,0.28,8.59,69.64
ci/cd,29.0,16.66,-12.34,-42.57,-0.5302,Declining,0.21,6.38,75.3
clean architecture,0.0,0.0,0.0,0.0,0.0,Stable,0.22,6.43,79.46
cloud observability,0.0,0.0,0.0,0.0,0.0,Stable,0.24,7.26,73.81
cloud security,0.0,0.0,0.0,0.0,0.0,Stable,0.26,7.3,74.4
"compliance (iso 27001, soc 2, gdpr)",0.0,0.0,0.0,0.0,0.0,Stable,0.22,6.35,77.68
dast,0.0,0.0,0.0,0.0,0.0,Stable,0.25,7.16,71.43
ddd,0.0,0.0,0.0,0.0,0.0,Stable,0.2,5.94,75.6
design systems,0.0,0.0,0.0,0.0,0.0,Stable,0.26,8.11,72.92
devsecops,0.0,0.0,0.0,0.0,0.0,Stable,0.24,6.79,74.7
docker,6.0,16.67,10.67,177.83,0.9259,Rising,0.16,4.62,75.0
figma,0.0,0.0,0.0,0.0,0.0,Stable,0.3,8.34,70.83
framer motion,0.0,0.0,0.0,0.0,0.0,Stable,0.25,7.43,77.98
git,19.0,15.71,-3.29,-17.3,-0.1795,Declining,0.03,0.92,55.95
gitops,0.0,0.0,0.0,0.0,0.0,Stable,0.22,6.68,81.25
grafana,0.0,0.0,0.0,0.0,0.0,Stable,0.21,6.14,84.52
graphql,2.0,10.0,8.0,400.0,1.2993,Rising,0.27,8.11,72.62
graphql subscriptions,0.0,0.0,0.0,0.0,0.0,Stable,0.24,7.05,78.27
incident management,0.0,0.0,0.0,0.0,0.0,Stable,0.23,6.9,73.21
java,19.0,16.09,-2.91,-15.33,-0.1574,Declining,0.21,6.0,81.55
javascript,28.0,16.0,-12.0,-42.87,-0.5343,Declining,0.27,8.22,65.48
kubernetes,2.0,10.0,8.0,400.0,1.2993,Rising,0.23,6.8,77.08
langchain,0.0,0.0,0.0,0.0,0.0,Stable,0.28,8.62,70.54
large language models (llms),0.0,0.0,0.0,0.0,0.0,Stable,0.25,7.76,73.51
linux,17.0,12.89,-4.11,-24.15,-0.2589,Declining,0.03,0.82,75.0
machine learning,5.0,16.76,11.76,235.14,1.085,Rising,0.24,6.92,72.62
micro-interactions,0.0,0.0,0.0,0.0,0.0,Stable,0.22,6.56,72.92
microservices,0.0,0.0,0.0,0.0,0.0,Stable,0.25,7.11,68.15
